#{"t_start": 1763588585.6588113, "env_id": "None"}
r,l,t
-984.0,38,2.640468
-991.9,18,2.640527
-993.2,20,2.645765
-993.3,21,2.660996
-987.5,29,2.678791
-992.4,23,2.680554
-989.4,26,2.682266
-986.6,31,2.693218
-980.4,46,2.710378
-985.4,41,2.715585
-975.4,62,2.720692
-988.6,29,2.729096
-982.9,38,2.741679
-969.7,71,2.750112
-983.4,43,2.753593
-982.8,37,2.755472
-964.6,86,2.755513
-978.4,59,2.759262
-984.6,33,2.765786
-990.2,23,2.76758
-986.7,32,2.774463
-992.1,20,2.787518
-992.2,21,2.791147
-985.0,37,2.803702
-975.8,55,2.807421
-984.7,34,2.807465
-989.2,24,2.814496
-983.8,36,2.820029
-989.2,24,2.828104
-983.0,39,2.832804
-980.5,47,2.834764
-982.5,45,2.841942
-993.3,21,2.843715
-992.1,20,2.84862
-994.0,17,2.84866
-994.9,15,2.853575
-992.1,20,2.875904
-981.4,45,2.88243
-986.5,30,2.897852
-987.7,31,2.899886
-983.2,41,2.903347
-982.5,45,2.908618
-984.1,39,2.919781
-986.4,29,2.926948
-989.5,27,2.931412
-974.3,62,2.950435
-993.0,18,2.954141
-963.6,87,2.956383
-986.8,33,2.962666
-989.0,33,2.971994
-979.4,47,2.98677
-981.3,44,2.986845
-947.0,119,3.002323
-984.1,39,3.002387
-988.3,26,3.006472
-988.3,26,3.012048
-985.0,37,3.025274
-978.8,52,3.030619
-979.3,46,3.037149
-986.1,37,3.040675
-988.6,29,3.040717
-993.4,22,3.042373
-988.7,30,3.06071
-991.3,23,3.065883
-984.0,38,3.071142
-991.1,21,3.075126
-987.4,28,3.080043
-985.2,39,3.081751
-990.4,25,3.085171
-987.9,33,3.100954
-995.0,16,3.10306
-993.2,20,3.106751
-993.9,16,3.108621
-994.0,17,3.11558
-986.5,30,3.134223
-974.8,56,3.139273
-963.0,92,3.151112
-979.6,49,3.151171
-987.6,30,3.152939
-981.1,53,3.152979
-990.7,28,3.156207
-989.4,26,3.159598
-982.0,40,3.172186
-984.7,34,3.193289
-988.5,28,3.199708
-975.5,63,3.214188
-987.4,28,3.218969
-984.1,39,3.219008
-983.9,37,3.222408
-994.2,19,3.224664
-979.2,45,3.230384
-980.6,48,3.23396
-971.8,70,3.259557
-992.3,22,3.26153
-992.2,21,3.267159
-989.2,24,3.267213
-989.6,28,3.269217
-988.9,32,3.277688
-982.5,45,3.295373
-983.8,36,3.298797
-976.10004,58,3.302456
-990.1,22,3.309899
-987.4,28,3.31332
-984.9,36,3.324207
-995.1,17,3.327168
-984.9,36,3.330382
-954.2,103,3.335367
-983.8,36,3.338819
-988.4,27,3.340427
-976.9,55,3.361323
-988.8,31,3.363205
-991.3,23,3.364951
-992.1,20,3.368463
-988.4,27,3.36851
-983.9,37,3.37029
-991.3,23,3.376648
-995.0,16,3.389457
-995.0,16,3.394532
-992.1,20,3.39829
-994.1,18,3.398331
-975.10004,59,3.400007
-983.3,42,3.410511
-994.0,17,3.420069
-974.7,55,3.424354
-995.0,16,3.428654
-990.3,24,3.442195
-992.4,23,3.452221
-987.6,30,3.454457
-993.0,18,3.456658
-984.8,35,3.458529
-974.7,55,3.473941
-988.6,29,3.47873
-994.9,15,3.478774
-984.2,40,3.490882
-990.3,24,3.496112
-985.7,33,3.499558
-965.1,80,3.50148
-989.4,26,3.503761
-985.0,37,3.520679
-990.4,25,3.522649
-982.4,44,3.552981
-984.9,36,3.566482
-983.7,35,3.568369
-977.6,51,3.597681
-974.9,57,3.597765
-982.0,40,3.597782
-948.89996,127,3.599819
-989.6,28,3.607749
-991.5,25,3.614932
-994.9,15,3.628048
-974.8,56,3.629906
-991.2,22,3.638726
-991.3,23,3.656555
-963.7,88,3.660147
-984.8,35,3.662124
-988.8,31,3.664309
-984.8,35,3.690351
-995.0,16,3.690405
-994.0,17,3.690421
-989.9,31,3.694084
-994.2,19,3.697928
-985.2,39,3.699767
-966.9,76,3.708188
-990.3,24,3.731862
-989.5,27,3.737215
-989.4,26,3.742168
-988.5,28,3.742234
-987.7,31,3.752464
-961.7,90,3.757109
-994.0,17,3.76545
-979.4,47,3.770598
-994.1,18,3.782315
-992.9,17,3.795006
-968.5,81,3.797224
-994.9,15,3.797269
-984.6,33,3.799201
-988.7,30,3.810188
-918.2999,184,3.810243
-974.2,61,3.813669
-988.5,28,3.832312
-990.4,25,3.841495
-973.8,57,3.841542
-991.2,22,3.848551
-988.5,28,3.848593
-987.7,31,3.850615
-990.3,24,3.852387
-967.60004,72,3.85795
-991.3,23,3.881205
-987.9,33,3.889978
-992.1,20,3.891768
-982.1,41,3.919336
-994.1,18,3.921314
-979.0,54,3.934978
-967.7,73,3.940193
-977.9,54,3.942049
-993.0,18,3.952107
-993.2,20,3.971669
-990.4,25,3.974815
-981.9,50,3.974854
-970.3,66,3.99063
-980.2,44,3.990674
-949.89996,115,3.992494
-983.8,36,3.99932
-984.8,35,4.00765
-992.4,23,4.009483
-990.4,25,4.015715
-952.5,108,4.032044
-985.5,31,4.041436
-981.2,43,4.044643
-947.1,120,4.049122
-988.4,27,4.050779
-981.2,43,4.061679
-987.5,29,4.061721
-992.1,20,4.063463
-984.0,38,4.070079
-994.0,17,4.090872
-976.10004,58,4.094635
-990.1,22,4.101699
-991.3,23,4.101746
-988.8,31,4.103788
-981.1,42,4.116168
