Iteration,return_max,return_mean,return_min,return_std
46535,-803,-878,-911,38.5
46762,-350,-399,-450,42.9
46989,-304,-450,-608,96.2
47216,-343,-407,-457,49.3
47443,-437,-480,-620,70.5
47670,-351,-518,-885,188
47897,-465,-475,-489,10.1
48124,-802,-841,-897,43.2
48351,-803,-887,-921,42.8
48578,-897,-917,-933,14.2
48805,-802,-821,-846,19.8
49032,-473,-738,-871,145
49259,-425,-670,-881,189
49486,-845,-898,-939,43.1
49713,-456,-684,-786,117
49940,-435,-446,-463,9.23
50167,-433,-461,-476,17.2
50394,-350,-432,-471,42.1
50621,-311,-405,-462,62.6
50848,-453,-559,-761,131
51075,-356,-493,-851,184
51302,-449,-465,-471,8.07
51529,-357,-440,-485,43.7
51756,-339,-429,-459,44.9
51983,-445,-581,-638,70.1
52210,-427,-446,-460,10.9
52437,-340,-403,-452,50.4
52664,-338,-407,-462,54.3
52891,-292,-377,-447,60.4
53118,-455,-701,-865,199
53345,-321,-508,-888,206
53572,-324,-465,-701,149
53799,-447,-460,-485,13.2
54026,-354,-402,-446,39.7
54253,-441,-456,-472,10.7
54480,-353,-423,-453,36.1
54707,-340,-430,-470,50.5
54934,-333,-433,-468,51.1
55161,-456,-518,-747,115
55388,-308,-422,-475,61.3
55615,-356,-438,-469,42.3
55842,-455,-460,-466,3.98
56069,-347,-431,-471,45.1
56296,-415,-445,-462,15.9
56523,-342,-485,-635,127
56750,-331,-426,-465,49.3
56977,-139,-328,-468,126
57204,-327,-406,-454,42.4
57431,-276,-337,-358,31
57658,-307,-402,-485,72.2
57885,-418,-452,-463,17
58112,-315,-415,-469,52.4
58339,-442,-464,-475,12.1
58566,-464,-473,-480,5.11
58793,-139,-311,-421,94.1
59020,-486,-490,-493,2.38
59247,-281,-368,-438,60.2
59474,-317,-389,-440,51.1
59701,-111,-312,-422,112
59928,-361,-472,-528,61.8
60155,-316,-424,-493,79.5
60382,-285,-332,-347,23.7
60609,-101,-321,-443,127
60836,-265,-393,-509,90.5
61063,-157,-354,-464,113
61290,-272,-336,-371,39.3
61517,-358,-403,-479,48.4
61744,-352,-361,-369,6.11
61971,-332,-344,-349,6.43
62198,-261,-338,-440,57.6
62425,-135,-285,-342,77.2
62652,-134,-182,-337,78.3
62879,101000,19900,-377,40600
63106,-330,-357,-364,13.4
63333,-259,-283,-328,27
63560,-283,-323,-348,28.5
63787,-128,-234,-346,79.4
64014,-277,-321,-375,37.9
64241,-149,-306,-365,79
64468,101000,19900,-346,40600
64695,-214,-277,-350,60.1
64922,-266,-325,-379,44.6
65149,-266,-322,-339,27.6
65376,-338,-353,-378,13.5
65603,-268,-314,-345,37
65830,-270,-331,-376,34.8
66057,-348,-397,-529,67.7
66284,-114,-313,-371,100
66511,-860,-862,-866,1.82
66738,-156,-257,-346,85.4
66965,-133,-326,-525,164
67192,-144,-233,-348,90.7
67419,-49.5,-161,-344,98.2
67646,-340,-343,-345,1.84
67873,-175,-323,-390,82
68100,-345,-371,-385,13.8
68327,-374,-381,-385,4.48
68554,45.3,-188,-381,167
68781,-105,-275,-369,116
69008,-336,-367,-378,15.7
69235,-160,-165,-172,5.38
69462,47.3,-116,-326,144
69689,-324,-339,-355,12.5
69916,-148,-273,-379,101
70143,-160,-338,-394,89.3
70370,-107,-141,-159,18.7
70597,101000,20200,-78.1,40400
70824,-140,-191,-374,91.3
71051,-26.7,-132,-390,133
71278,-377,-382,-385,3.24
71505,-123,-183,-404,110
71732,101000,20200,-158,40400
71959,-116,-306,-524,157
72186,-36.7,-142,-375,122
72413,-61,-108,-158,38.8
72640,-65.1,-81.1,-116,18.9
72867,-101,-178,-398,111
73094,-75.9,-124,-160,31.3
73321,-101,-176,-393,110
73548,-60.9,-88.4,-128,25.3
73775,-123,-143,-154,11.4
74002,101000,40400,-161,49500
74229,-38.1,-68.8,-168,49.9
74456,-61.6,-139,-385,123
74683,-29.3,-166,-493,171
74910,101000,20100,-161,40500
75137,101000,40300,-524,49600
75364,-104,-180,-392,107
75591,101000,20100,-154,40500
75818,101000,40400,40.5,49500
76045,-38.5,-140,-519,189
76272,101000,40400,-74,49500
76499,101000,40400,-143,49500
76726,-144,-240,-383,115
76953,39,19.7,-47.7,33.7
77180,-95.4,-238,-396,131
77407,101000,40300,-390,49600
77634,101000,60600,35.2,49500
77861,101000,20200,-59.9,40400
78088,101000,60600,31.1,49500
78315,101000,80800,35,40400
78542,101000,80800,45.4,40400
78769,101000,80800,-387,40600
78996,101000,101000,101000,2.03
79223,101000,80800,-300,40500
79450,101000,40300,-389,49600
79677,101000,101000,101000,2.23
79904,101000,101000,101000,0.524
80131,101000,80800,-381,40600
80358,101000,80800,-370,40600
80585,101000,101000,101000,1.33
80812,101000,101000,101000,1.39
81039,101000,101000,101000,0.838
81266,101000,80800,-309,40500
81493,101000,101000,101000,0.903
81720,101000,101000,101000,0.844
81947,101000,101000,101000,1.18
82174,101000,60600,-387,49600
82401,101000,101000,101000,1.02
82628,101000,101000,101000,1.15
82855,101000,101000,101000,1.76
83082,101000,101000,101000,0.671
83309,101000,101000,101000,1.65
83536,101000,101000,101000,0.603
83763,101000,101000,101000,0.996
83990,101000,101000,101000,0.92
84217,101000,101000,101000,0.942
84444,101000,101000,101000,1.34
84671,101000,101000,101000,0.355
84898,101000,80800,34.4,40400
85125,101000,101000,101000,0.853
85352,101000,101000,101000,1.86
85579,101000,101000,101000,0.801
85806,101000,101000,101000,1.38
86033,101000,101000,101000,0.852
86260,101000,101000,101000,0.88
86487,101000,101000,101000,1.04
86714,101000,101000,101000,1.63
86941,101000,101000,101000,1.63
87168,101000,80800,-362,40600
87395,101000,101000,101000,1.14
87622,101000,101000,101000,1.47
87849,101000,101000,101000,1.63
88076,101000,101000,101000,0.814
88303,101000,101000,101000,1.1
88530,101000,101000,101000,1.05
88757,101000,101000,101000,0.851
88984,101000,101000,101000,0.708
89211,101000,101000,101000,0.842
89438,101000,101000,101000,0.329
89665,101000,101000,101000,1.68
89892,101000,101000,101000,1.25
90119,101000,101000,101000,1.2
90346,101000,101000,101000,1.42
90573,101000,101000,101000,0.933
90800,101000,101000,101000,2.24
91027,101000,101000,101000,0.672
91254,101000,80800,27.2,40400
91481,101000,101000,101000,0.955
91708,101000,101000,101000,0.837
91935,101000,101000,101000,1.12
92162,101000,101000,101000,0.684
92389,101000,101000,101000,0.985
92616,101000,101000,101000,1.02
92843,101000,101000,101000,0.666
93070,101000,101000,101000,1.29
93297,101000,101000,101000,0.827
93524,101000,101000,101000,0.934
93751,101000,101000,101000,1.9
93978,101000,101000,101000,0.887
94205,101000,101000,101000,0.63
94432,101000,101000,101000,0.675
94659,101000,101000,101000,1.02
94886,101000,101000,101000,1.45
95113,101000,101000,101000,0.97
95340,101000,101000,101000,0.803
95567,101000,101000,101000,1.36
95794,101000,101000,101000,1.1
96021,101000,101000,101000,0.923
96248,101000,101000,101000,0.977
96475,101000,101000,101000,1.01
96702,101000,80800,-368,40600
96929,101000,101000,101000,0.735
97156,101000,101000,101000,1.33
97383,101000,101000,101000,0.726
97610,101000,101000,101000,0.838
97837,101000,101000,101000,1.16
