#{"t_start": 1763608715.374144, "env_id": "None"}
r,l,t
-931.69995,164,34.169258
-919.49994,185,34.194255
-913.2999,200,34.202199
-975.7,65,34.210399
-851.10004,359,34.229817
-983.7,46,34.277615
-975.60004,64,34.29089
-873.39984,307,34.338944
-958.6,103,34.38072
-948.19995,120,34.492064
-915.5999,212,34.509719
-994.9,15,34.536615
-921.0999,190,34.553225
-771.1007,549,34.571285
-946.19995,122,34.588362
-973.4,75,34.620871
-976.10004,58,34.66743
-706.2012,703,34.691212
-956.8,96,34.69823
-825.6002,434,34.70065
-872.89984,302,34.722933
-895.1999,239,34.741282
-970.3,77,34.749846
-978.8,52,34.778848
-981.6,47,34.802024
-863.99994,323,34.822458
-976.2,59,34.84881
-958.1,109,34.85104
-955.6,106,34.878177
-953.3,116,34.936093
-965.5,84,34.991576
-948.99994,128,35.067437
-952.89996,112,35.069523
-893.59985,245,35.113477
-928.89996,158,35.208945
-902.8999,228,35.212512
-975.8,66,35.228434
-832.70013,406,35.243527
-828.7002,421,35.305153
-972.9,70,35.331265
-924.19995,177,35.374043
-861.0999,349,35.37764
-901.79987,228,35.388411
-855.5,359,35.418778
-983.8,36,35.435663
-974.9,57,35.482965
-953.5,107,35.486594
-984.2,40,35.502466
-978.2,57,35.513993
-925.19995,176,35.529581
-948.0,118,35.531294
-885.09985,270,35.53311
-920.8999,188,35.535298
-986.4,29,35.564294
-977.6,51,35.571208
-988.5,28,35.581108
-976.4,61,35.592813
-972.60004,67,35.65095
-973.4,64,35.694581
-949.8,114,35.701123
-953.1,114,35.72728
-958.39996,112,35.728962
-989.7,29,35.774543
-889.59985,249,35.800569
-960.4,99,35.85718
-926.7999,170,35.859049
-895.6999,244,42.705486
-945.39996,136,42.72976
-866.49994,315,42.87609
-915.0999,196,42.88632
-956.9,108,42.909625
-977.8,53,42.973875
-866.5999,316,43.002887
-849.00006,360,43.162251
-912.4999,203,43.214563
-668.20135,785,43.264906
-754.9008,596,43.423446
-869.9999,306,43.515279
-676.6013,759,43.540472
-859.69995,346,43.558827
-990.5,26,43.564916
-874.2998,294,43.675658
-970.2,76,43.707297
-941.99994,135,43.78807
-848.30005,375,43.871234
-646.80164,868,43.879489
-934.7999,162,43.956006
-741.6008,628,43.992377
-865.0999,323,43.997665
-923.6999,194,44.20082
-643.2018,876,44.202749
-931.7999,176,44.293233
-853.9,354,44.390813
-817.0003,425,44.430733
-704.40106,707,44.483742
-911.6999,228,44.583468
-839.5001,375,44.586452
-954.69995,119,44.589818
-740.1008,613,44.613526
-869.79987,304,44.709977
-944.99994,132,44.80779
-757.1007,585,44.865084
-904.0999,218,44.951147
-947.1,131,45.084958
-949.89996,137,45.18064
-834.2001,410,45.281253
-975.3,61,45.286338
-831.4002,404,45.295415
-848.9,359,45.320093
-675.7014,794,45.332008
-857.49994,346,45.397865
-958.89996,117,45.53172
-884.9998,280,45.567027
-904.1999,230,45.730548
-882.1998,274,45.776903
-634.0017,883,45.809956
-862.69995,332,45.889383
-855.8,351,45.910842
-634.00165,872,45.942079
-976.9,55,46.048063
-928.7999,168,46.08917
-837.4001,398,46.192952
-566.50226,1055,53.384411
-850.1001,349,53.780451
-973.10004,72,53.906022
-884.79987,278,54.369912
-624.5017,898,54.421907
-653.40155,835,54.435598
-625.80176,878,54.570717
-571.40216,1038,54.623693
-523.6027,1154,54.629888
-495.40292,1235,54.732055
-596.00195,976,54.758048
-559.0024,1079,54.798561
-619.90173,896,54.899127
-856.2,333,54.930528
-963.7,88,54.949119
-837.70013,379,55.411439
-592.5021,985,56.098
-548.80237,1076,56.243867
-591.502,964,56.265974
-568.0022,1026,56.312338
-650.10156,813,56.32871
-628.5017,861,56.361102
-563.9022,1040,56.389434
-580.6021,1009,56.446032
-597.502,958,56.554444
-819.30023,415,63.756641
-735.0009,617,64.12766
-511.70288,1200,64.189671
-665.0014,786,64.348439
-850.7,355,64.366441
-674.9013,775,64.427215
-589.90204,981,64.658022
-522.3026,1152,64.801023
-841.20013,381,64.828039
-561.1023,1045,64.901906
-575.1022,1009,65.007563
-547.30237,1083,65.02312
-936.69995,170,65.114335
-861.49994,342,65.229712
-851.9,345,65.380223
-862.6,320,65.756975
-616.50183,906,65.933421
-563.4024,1090,65.945446
-730.601,639,65.965748
-566.5022,1033,66.069333
-499.1029,1228,66.413277
-568.7022,1022,66.711025
-569.6024,1064,66.794364
-564.70215,1026,66.819028
-564.2024,1076,73.799598
-535.9026,1123,74.276852
-575.2021,1010,74.298486
-542.70233,1081,74.385831
-540.2023,1089,74.411972
-567.00226,1027,74.433821
-553.9022,1039,74.799424
-566.70215,1024,75.067928
-576.4021,1000,75.112343
-562.30225,1035,75.195801
-493.8028,1197,75.810566
-568.20215,1017,75.980873
-529.7026,1127,76.188677
-544.1024,1095,76.224141
-539.6023,1083,76.229926
-518.1027,1165,76.396314
-564.5022,1024,76.522226
-865.0999,312,76.933439
-507.50272,1169,83.723141
-480.90274,1244,83.804191
-858.9,327,84.105107
-389.9999,1446,84.283492
-573.4021,1003,84.527399
-517.00256,1132,84.537725
-522.60254,1144,84.80271
-399.00015,1426,84.868221
-507.7029,1204,84.896655
-452.10184,1297,85.351203
-558.0022,1025,85.832918
-488.3029,1219,85.857029
-444.40155,1297,85.90597
-553.60236,1058,86.293747
-489.7029,1233,86.34066
-547.1024,1081,86.342445
-482.20264,1224,86.954383
-463.70206,1259,86.984143
-445.4016,1307,86.998848
-483.20255,1212,94.575943
-335.5984,1540,94.614859
-330.29837,1564,95.130316
-332.59842,1576,95.22845
-928.3999,164,95.409521
-331.99817,1548,95.572623
-349.9987,1530,95.59074
-332.898,1557,95.632268
-482.60242,1206,95.676045
-332.19836,1550,96.213839
-341.7985,1558,96.272371
-498.40265,1177,96.525506
-334.09827,1591,103.950048
-339.49857,1535,104.490538
-397.00015,1373,104.567252
-302.59744,1595,104.772077
-304.89758,1585,104.935269
-325.59805,1561,104.982895
-315.49783,1592,104.991726
-319.49805,1566,105.547784
-321.99802,1569,105.609197
-337.29843,1546,105.82729
-461.10196,1244,106.593126
-320.49805,1565,106.605001
-305.59763,1570,107.227516
-301.69742,1608,114.298447
-321.59802,1554,114.424215
-302.0974,1590,114.438212
-318.59793,1557,114.438273
-321.79816,1567,115.027419
-302.19736,1613,115.166633
-308.19766,1596,115.358019
-334.19846,1537,116.020109
-320.99792,1548,116.026707
-296.99722,1616,116.756515
-325.39822,1548,116.90625
-311.49774,1585,117.093271
-304.8977,1596,117.124614
-301.19727,1603,117.136491
-307.79776,1581,124.258122
-320.1979,1562,124.364925
-326.19815,1545,124.52531
-299.99747,1591,125.272287
-307.39777,1588,125.274172
-289.69705,1620,126.056999
-298.49744,1598,126.173766
-340.7986,1515,126.252334
-300.3976,1617,126.394669
-292.99734,1609,126.425171
-301.19754,1592,126.914551
-302.8975,1598,127.029629
-323.29807,1560,127.127414
-321.698,1566,134.434991
-282.8971,1629,134.541608
-286.29712,1619,135.322258
-289.0972,1614,135.433282
-297.49747,1610,135.505633
-310.79776,1578,135.623716
-283.697,1626,135.674591
-308.0977,1573,136.103592
-326.9982,1531,136.150775
-330.29822,1520,136.229512
-321.3981,1541,137.044674
-289.19714,1615,137.27993
-299.29736,1595,144.864874
-330.9983,1527,144.940915
-304.59756,1593,144.985462
-328.79825,1538,145.142997
-292.59732,1616,145.221807
-436.00134,1301,145.307459
-305.39774,1590,145.662507
-299.99747,1613,145.748906
-320.39798,1564,146.527104
-321.29816,1551,146.738902
-287.59717,1610,147.570001
-299.8975,1590,147.604573
-301.69754,1586,147.636781
-333.89844,1512,147.739145
-296.09738,1596,147.798421
-301.99756,1589,154.642339
-291.1972,1613,155.064306
-311.59766,1575,155.089023
-292.29733,1613,155.939297
-300.79752,1599,156.123735
-302.19757,1580,157.033677
-292.79727,1618,157.067821
-305.7975,1583,157.078027
-304.19757,1578,157.189628
-300.6975,1587,157.278477
-301.49747,1584,157.437296
-293.39722,1602,157.8602
-293.99728,1608,157.893669
-295.5974,1602,165.353841
-312.4977,1573,165.492388
-297.89746,1614,166.38976
-294.49725,1602,166.397878
-288.1971,1627,166.449596
-294.09732,1598,166.495492
-298.69748,1600,166.575364
-278.7969,1632,166.779868
-303.09753,1578,167.166356
-294.79736,1605,167.179264
-887.1998,258,167.630596
-302.69763,1585,168.093307
-320.99808,1570,168.212417
-296.19742,1608,175.936998
-294.1974,1621,175.972596
-291.99722,1621,176.029787
-296.39746,1632,176.098205
-297.6975,1612,176.14782
-291.6972,1596,176.32759
-296.4973,1611,176.740758
-297.69745,1601,177.142609
-257.5961,1695,177.741461
-280.7969,1630,177.744992
-328.79822,1538,185.428907
-278.4968,1651,185.568785
-251.89603,1704,185.579192
-252.29593,1708,185.620656
-286.19702,1618,185.631773
-273.79678,1648,185.861305
-283.09705,1642,186.255323
-433.90112,1291,186.642705
-274.79675,1658,186.680804
-296.2974,1598,187.150084
-310.09775,1571,188.074591
-306.89758,1572,188.217576
-293.39737,1613,188.323583
-279.79688,1642,188.326833
-278.89688,1633,188.364766
-311.69766,1565,188.478417
-295.39737,1611,195.601569
-294.49722,1613,196.053305
-261.99646,1695,196.15114
-293.9973,1597,196.498577
-299.29736,1595,197.419708
-296.89737,1615,197.588904
-300.69742,1587,197.699275
-291.4971,1616,197.710859
-287.4972,1620,197.714673
-292.0972,1611,197.860222
-296.29733,1609,198.330912
-287.49713,1642,205.443611
-241.2958,1719,205.666961
-294.29715,1611,205.851688
-298.09753,1605,206.750165
-294.79733,1616,206.935002
-304.29758,1590,207.000039
-294.09732,1609,207.022388
-286.79703,1646,207.097636
-294.4973,1602,207.165808
-284.9971,1639,207.693538
-315.39798,1569,208.067319
-294.5974,1614,208.369872
-318.0979,1552,208.437587
-295.09732,1608,216.044171
-295.89737,1616,216.238102
-285.1971,1630,216.326884
-295.89737,1594,216.363937
-283.19705,1643,216.370589
-296.2974,1598,216.437395
-292.29727,1613,216.994725
-326.09802,1533,217.229719
-305.29752,1578,217.60724
-285.4972,1633,217.761591
-310.19775,1561,218.629336
-278.69693,1642,225.600985
-282.69696,1627,225.7119
-269.0966,1667,225.735562
-299.19742,1605,225.742581
-252.59607,1700,225.825286
-286.19702,1629,226.349999
-272.99673,1640,226.603183
-254.7963,1689,227.06411
-174.29398,1874,227.546216
-284.8971,1616,227.999564
-294.79724,1594,228.303031
-305.7976,1583,228.399692
-291.09717,1623,228.49537
-275.49673,1643,228.522845
-259.39618,1702,228.718712
-248.99597,1697,235.901031
-254.99612,1680,236.126338
-244.79599,1721,236.659814
-246.69592,1718,237.125845
-251.29599,1687,237.511168
-277.69687,1632,237.716647
-229.5954,1745,237.99084
-300.7974,1588,238.043392
-237.09561,1721,238.048478
-245.8959,1710,238.056959
-296.49738,1589,238.545864
-249.996,1696,238.946737
-259.69632,1683,245.98623
-250.09598,1697,246.480636
-288.19717,1605,246.922287
-225.59537,1760,246.972886
-298.5974,1599,247.243239
-255.29617,1694,247.357207
-232.79556,1733,247.487252
-171.19391,1876,247.723165
-236.69571,1728,247.97335
-124.4927,2003,248.852063
-236.49573,1737,248.912746
-246.29593,1714,256.457169
-236.29562,1735,256.549815
-279.39688,1627,256.638778
-279.2969,1626,256.74408
-243.79587,1711,257.010062
101053.914,2376,257.113984
-286.59714,1622,257.343562
-86.49164,2063,257.833174
-278.5968,1641,258.315147
-258.39615,1681,258.320242
-246.79596,1708,266.02218
-241.29565,1719,266.509852
-165.69379,1898,266.539479
-247.89603,1708,266.609348
-34.790184,2173,266.906808
101050.11,2370,267.061143
-90.99164,2053,267.423911
-86.591576,2064,267.930246
-145.49316,1938,268.194152
-47.990562,2162,268.570276
-296.99747,1594,268.71135
-298.3975,1586,275.895362
-243.3959,1718,276.419824
-113.69226,1994,276.500279
52.91221,2374,277.186933
-255.0961,1692,277.685303
101051.414,2368,277.690747
49.712036,2373,278.058035
-219.19534,1784,278.366769
101053.414,2370,278.563266
-103.792015,2016,278.615112
-285.99698,1616,278.647046
-298.39743,1586,279.185761
-150.79321,1914,286.254385
-192.69449,1827,286.872266
-242.49585,1709,287.173225
-177.19409,1859,287.421048
-261.29642,1699,287.523542
-297.89737,1581,287.907349
-184.09427,1862,288.100271
-216.6951,1770,288.194155
-287.89716,1613,288.998189
-149.19327,1920,289.045677
100050.21,2380,289.197852
-282.797,1606,296.314577
-197.29462,1818,296.984351
-195.79446,1814,297.225349
-301.2975,1582,297.515996
-206.3948,1788,297.671759
3.5109253,2263,298.085062
-98.79193,2032,298.366651
-252.89615,1692,298.576927
-228.79547,1737,298.84809
-87.79159,2054,299.235099
-134.29288,1958,306.84692
101053.414,2370,306.882503
-297.59738,1589,306.918035
-175.99405,1869,306.943021
-225.89542,1752,307.644717
-204.3948,1801,308.014563
101053.016,2374,308.134544
-260.89627,1673,308.28996
-151.09329,1917,308.43562
-252.29602,1708,316.424154
47.31199,2364,316.486721
-210.09494,1781,316.581484
-90.79165,2051,317.06977
-239.99573,1717,317.215673
-299.89746,1579,317.620525
-233.69559,1742,317.633278
45.011963,2354,317.633338
-302.5975,1584,317.774999
101049.516,2365,318.807489
-178.49402,1861,319.617923
-113.99231,1997,326.623843
-90.89172,2052,326.809717
-235.59561,1728,326.87777
-151.09338,1917,327.070975
-196.39453,1809,327.445733
-89.391685,2048,327.84165
-288.19705,1605,328.26684
48.21216,2355,328.366267
101052.81,2365,328.523427
-202.2948,1802,329.389265
-210.49503,1785,336.512398
-89.591736,2050,336.703223
-93.0918,2041,336.87317
-224.49536,1749,336.996967
48.312134,2354,337.686292
-223.49536,1750,337.84586
-239.59586,1724,337.902932
-75.59131,2075,337.965869
-247.8959,1697,338.017569
-295.69742,1592,338.699674
-247.89597,1708,339.400079
-963.0,92,339.551888
-291.99725,1599,339.701076
-195.59454,1812,339.769637
-160.89368,1894,346.719114
-300.09753,1581,347.250878
-197.59464,1810,347.591516
-0.68933105,2250,348.129058
27.011475,2314,348.391752
-483.50247,1182,348.423678
46.01194,2355,348.630548
-260.2964,1678,349.054804
101047.016,2357,349.341312
-66.89105,2098,349.930369
-167.89383,1876,349.932446
-840.4001,362,349.963126
-481.40237,1183,356.736587
-166.39383,1883,357.06533
-113.69228,1994,357.581046
-299.8975,1579,357.679083
-310.09778,1560,357.90042
-301.29752,1582,358.351516
-106.99215,2015,358.456363
-440.60132,1270,359.228341
-245.29593,1704,359.416904
-250.5961,1702,359.44568
-184.19427,1841,359.647832
-824.1002,397,359.90279
-288.79715,1600,366.80083
-291.0973,1601,366.896646
101047.81,2360,367.250802
-233.9956,1734,367.331519
-301.89758,1577,367.515015
-250.19604,1698,367.831634
-304.09763,1577,368.616083
-122.89258,1976,369.250434
-300.2975,1583,369.565948
-301.59753,1574,369.985024
46.11194,2354,370.121698
101048.61,2363,377.040986
-301.4975,1573,377.134136
-194.79459,1815,377.234638
100047.11,2356,377.429647
101049.914,2361,377.879452
40.211792,2336,379.20035
-206.69485,1791,379.681547
100051.31,2358,379.906011
-302.79755,1575,380.125751
101049.31,2356,380.244107
101048.016,2358,387.511781
101049.516,2365,387.78988
46.81199,2347,387.849917
46.61194,2360,387.971517
101049.31,2356,388.616677
-299.59744,1576,389.596158
101048.914,2360,389.926525
39.91172,2350,390.36944
101049.81,2362,397.191745
101048.414,2365,397.406954
39.811768,2329,398.015069
101048.516,2364,398.369503
40.711792,2353,398.409462
35.411743,2329,398.489136
101049.914,2361,399.17066
-72.391136,2098,399.71989
-144.09317,1924,400.19685
-180.29419,1846,400.307534
101048.914,2360,407.127681
-178.8942,1854,407.168871
-233.89566,1733,407.569591
34.211647,2330,408.988773
101051.016,2361,408.999393
-161.99365,1905,409.05007
36.41172,2341,409.089417
-213.99506,1776,409.386975
-199.39456,1806,410.044223
-286.59708,1611,410.347962
41.311867,2347,417.423106
-29.3901,2185,417.442354
101046.914,2358,417.772839
-302.19754,1580,418.348172
-308.09772,1562,419.27169
4.9108644,2260,419.415887
101045.016,2366,419.604732
101048.11,2357,419.640193
-438.4012,1270,419.932039
101048.914,2360,419.981218
-309.79773,1557,420.069801
101049.11,2358,427.490687
101049.31,2356,428.003748
-438.10123,1278,428.156343
-80.69147,2071,428.458312
-303.49756,1571,428.900607
-206.19485,1797,428.91339
101047.11,2356,430.196912
101046.21,2365,430.556649
101044.016,2354,430.584137
101047.61,2362,430.683797
-69.7911,2094,437.59148
-119.59253,1987,437.934181
-300.0974,1581,438.106806
-249.99612,1707,438.331729
-21.989893,2199,438.43076
-75.09131,2081,438.5261
-195.19461,1819,440.221661
-478.80228,1179,440.487138
35.011597,2333,440.742161
-135.69296,1950,447.592133
101047.914,2359,447.765081
35.811745,2336,447.850784
-110.39221,2005,448.205247
101047.31,2354,448.621907
39.01172,2337,449.015389
6.010901,2260,449.07429
-463.3019,1222,449.458383
-179.59415,1850,450.020116
-229.19547,1741,450.546462
-832.20013,379,450.656478
-239.99582,1717,450.764368
-14.489649,2223,450.904516
-306.09766,1575,457.898301
17.51117,2288,458.25044
-56.290794,2124,458.407376
-304.79764,1573,458.709968
-153.49344,1919,458.902031
101046.31,2353,459.592404
-310.9978,1558,459.796227
-479.2024,1183,460.250838
-222.99536,1756,460.340445
-193.69449,1815,460.574
-45.790527,2151,460.907484
-808.90027,432,460.986434
-304.6975,1572,467.608839
-27.48999,2188,468.133476
-791.70044,469,468.305631
101046.11,2355,469.253695
-235.99573,1732,469.27107
22.711365,2302,469.364735
33.71167,2324,470.09673
-290.19727,1603,470.372048
101047.11,2356,470.92486
101047.21,2355,477.704442
-251.79611,1692,477.782438
101045.516,2361,478.046052
-39.390404,2164,478.407101
-303.79764,1574,478.525939
-308.79776,1569,479.346321
-67.49111,2104,479.438473
-54.190697,2136,479.603129
-250.19604,1698,479.836066
-169.4939,1881,487.814828
12.611084,2282,487.926208
-216.59525,1780,488.029749
-466.60202,1211,488.246936
101045.81,2358,488.328303
101048.016,2358,488.406974
-806.2003,438,488.599902
-301.89758,1577,488.619518
-314.49792,1560,488.679725
-833.9001,385,488.703012
-793.6004,466,489.119069
101048.016,2358,489.153032
-21.289917,2203,490.175756
-484.30252,1179,490.682055
