#{"t_start": 1763608715.374144, "env_id": "None"}
r,l,t
-989.2,24,2.42747
-991.2,22,2.430893
-983.5,44,2.432838
-987.6,30,2.453107
-992.1,20,2.454918
-962.8,90,2.459809
-991.4,24,2.468398
-989.3,25,2.475021
-988.6,29,2.475064
-986.8,33,2.487417
-994.1,18,2.498787
-995.9,14,2.498835
-988.6,29,2.502829
-971.5,67,2.502877
-986.7,32,2.509416
-955.8,97,2.524082
-994.9,15,2.527176
-990.3,24,2.539736
-989.4,26,2.543702
-946.5,125,2.543749
-991.1,21,2.545852
-995.8,13,2.552024
-994.1,18,2.55814
-979.6,49,2.574809
-991.2,22,2.588897
-992.1,20,2.615516
-994.9,15,2.619024
-963.2,83,2.627451
-968.4,69,2.631025
-976.6,52,2.642908
-978.4,59,2.651469
-948.6,113,2.663262
-988.5,28,2.663316
-987.8,32,2.674422
-966.8,75,2.683496
-969.10004,76,2.692706
-985.0,37,2.692754
-967.8,74,2.69459
-991.4,24,2.69463
-983.0,39,2.700161
-988.0,34,2.704567
-992.4,23,2.706196
-993.0,18,2.708212
-990.3,24,2.708278
-991.2,22,2.732005
-987.6,30,2.737535
-992.1,20,2.739577
-993.1,19,2.741679
-990.5,26,2.74172
-988.5,28,2.743348
-995.1,17,2.770268
-984.9,36,2.772049
-993.2,20,2.773931
-982.7,47,2.779234
-988.3,26,2.78927
-988.6,29,2.792284
-976.7,53,2.794138
-982.0,51,2.795887
-985.6,32,2.797703
-996.0,15,2.797745
-993.9,16,2.79776
-989.5,27,2.823343
-984.6,33,2.828426
-993.1,19,2.828464
-990.1,22,2.83169
-991.3,23,2.831741
-992.2,21,2.831762
-990.5,26,2.831772
-994.9,15,2.856969
-989.5,27,2.869397
-989.6,28,2.875644
-989.4,26,2.875684
-984.6,33,2.888847
-980.10004,54,2.888908
-993.1,19,2.890848
-984.1,39,2.899815
-956.2,101,2.906787
-991.3,23,2.91021
-991.0,20,2.91187
-966.1,79,2.927538
-990.5,26,2.935176
-987.0,35,2.95165
-991.2,22,2.95172
-983.8,36,2.955494
-993.1,19,2.963481
-965.2,81,2.974504
-983.7,35,2.976912
-995.9,14,2.980718
-989.3,25,2.986024
-995.0,16,3.000101
-992.3,22,3.004585
-969.7,71,3.01514
-994.1,18,3.025757
-990.3,24,3.030122
-976.5,62,3.032448
-995.2,18,3.039614
-969.7,71,3.04424
-993.9,16,3.051032
-988.3,26,3.061213
-982.0,40,3.063252
-978.2,57,3.077011
-981.5,46,3.082582
-990.4,25,3.086909
-991.2,22,3.090822
-989.0,33,3.10057
-994.1,18,3.100632
-986.4,29,3.100649
-993.1,19,3.114196
-994.1,18,3.125606
-991.1,21,3.12739
-986.8,33,3.127432
-995.0,16,3.131234
-995.1,17,3.133256
-988.4,27,3.153415
-995.9,14,3.160939
-988.3,26,3.164276
-990.3,24,3.178169
-979.2,56,3.189729
-967.10004,78,3.201736
-987.9,44,3.20898
-957.3,101,3.223491
-988.4,27,3.225334
-993.9,16,3.237576
-978.7,51,3.245037
-980.0,53,3.255285
-993.1,19,3.257002
-985.9,35,3.263264
-968.2,78,3.266835
-991.4,24,3.266893
-974.2,61,3.271858
-977.5,50,3.276715
-960.4,88,3.285555
-986.8,33,3.293473
-984.6,33,3.310097
-985.7,44,3.318696
-992.1,20,3.31874
-982.1,41,3.324808
-983.0,39,3.328237
-978.5,49,3.35273
-994.1,18,3.357796
-987.7,31,3.361363
-978.7,51,3.361408
-977.2,58,3.363113
-986.5,30,3.374796
-967.9,75,3.391267
-977.4,49,3.399766
-994.0,17,3.40326
-990.4,25,3.403302
-984.8,35,3.418804
-972.2,63,3.422319
-982.3,43,3.424121
-992.2,21,3.425872
-982.9,38,3.42591
-965.2,81,3.427627
-994.2,19,3.433822
-988.3,26,3.444589
-989.7,29,3.446226
-978.0,55,3.447962
-992.3,22,3.454901
-989.3,25,3.462598
-990.4,25,3.466053
-988.6,29,3.474272
-987.7,31,3.475916
-988.7,30,3.497927
-985.5,31,3.497981
-991.3,23,3.504946
-992.1,20,3.509647
-979.3,46,3.521236
-995.9,14,3.521283
-993.9,16,3.524585
-986.7,32,3.527811
-978.3,47,3.533296
-975.60004,64,3.539887
-978.5,49,3.545001
-995.1,17,3.550204
-987.4,28,3.556844
-994.0,17,3.556886
-965.60004,85,3.564762
-985.7,33,3.576159
-990.3,24,3.584255
-991.3,23,3.587607
-978.7,51,3.589584
-994.9,15,3.589628
-984.6,33,3.594951
-982.4,44,3.598725
-990.5,26,3.600547
-989.6,28,3.60361
-981.8,49,3.615442
-991.1,21,3.620864
-988.5,28,3.624416
-991.3,23,3.629055
-990.3,24,3.630827
-994.0,17,3.632971
-991.1,21,3.636842
-987.5,29,3.64446
-994.7,13,3.651868
-993.2,20,3.655626
-984.1,39,3.6659
-993.9,16,3.673698
-989.2,24,3.675655
-977.6,51,3.677462
-996.0,15,3.703902
-976.6,52,3.707482
-993.1,19,3.707537
-987.6,30,3.709128
-979.3,46,3.712337
-992.3,22,3.714239
-976.8,54,3.719621
-984.2,40,3.722798
-975.8,55,3.732149
-996.1,16,3.740515
-993.2,20,3.740579
-989.3,25,3.749063
-992.1,20,3.755475
-976.0,57,3.764086
-983.0,39,3.769137
-994.1,18,3.770724
-985.7,33,3.773965
-991.2,22,3.7859
-977.4,49,3.793778
-982.9,38,3.795538
-983.9,37,3.802666
-989.4,26,3.812663
-990.5,26,3.814405
-972.7,68,3.823176
-990.3,24,3.826394
-982.2,42,3.826432
-990.3,24,3.834702
-981.3,44,3.847314
-987.6,30,3.852865
-987.3,27,3.85774
-990.4,25,3.864443
-993.0,18,3.879443
-986.7,32,3.881367
-985.1,38,3.892237
-978.5,49,3.899566
-972.10004,62,3.903527
-988.4,27,3.907415
-992.4,23,3.907459
-979.4,47,3.920192
-991.2,22,3.922262
-995.0,16,3.93368
-989.5,27,3.93574
-995.1,17,3.975513
-989.4,26,3.979871
-982.2,42,4.003806
-993.2,20,4.018887
-981.2,43,4.028074
-995.9,14,4.030282
-968.60004,71,4.045915
-993.0,18,4.065271
-992.1,20,4.067219
-954.5,106,4.069238
-928.0999,161,4.072761
-965.4,83,4.07757
-974.3,62,4.101352
-996.0,15,4.105157
-986.8,33,4.105219
-987.9,33,4.12512
-981.5,46,4.147834
-988.4,27,4.150411
-988.5,28,4.152308
-995.1,17,4.154206
-981.0,52,4.162654
-964.1,81,4.164486
-975.2,60,4.170665
-939.89996,136,4.175214
-944.1,134,4.185672
-994.3,20,4.189849
-992.0,19,4.214697
-994.0,17,4.220897
-985.8,34,4.222785
-988.8,31,4.226465
-983.2,41,4.23499
-983.8,36,4.239418
-965.0,79,4.251367
-994.9,15,4.264285
-989.4,26,4.26626
-992.2,21,4.268281
-979.0,54,4.279877
-991.3,23,4.28419
-986.9,34,4.289887
-991.2,22,4.294695
-966.7,74,4.297179
-991.4,24,4.318249
-987.5,29,4.325103
-987.5,29,4.327148
-994.0,17,4.333333
-968.7,72,4.337281
-973.9,58,4.339211
-981.3,44,11.553769
-983.10004,51,11.557064
-987.6,30,11.559117
-977.8,53,11.564448
-986.7,32,11.617059
-971.5,67,11.625578
-969.60004,70,11.634521
-959.0,96,11.644183
-977.9,54,11.647238
-977.0,56,11.652259
-992.3,22,11.653966
-966.3,92,11.659805
-990.5,26,11.676301
-957.39996,102,11.687364
-961.3,86,11.695196
-985.9,35,11.700246
-946.1,121,11.702152
-982.4,44,11.724382
-974.8,67,11.734534
-986.6,31,11.750909
-973.5,65,11.752913
-979.4,58,11.754856
-983.2,41,11.770982
-964.5,85,11.79469
-983.0,39,11.823002
-963.1,93,11.837176
-972.2,63,11.848036
-993.9,16,11.851721
-954.69995,108,11.885162
-973.10004,72,11.902012
-985.4,41,11.925903
-945.99994,131,11.990886
-980.10004,54,11.998053
-928.49994,165,12.01911
-990.3,24,12.033704
-951.69995,111,12.035617
-989.5,27,12.045416
-994.1,18,12.063703
-995.1,17,12.073458
-930.19995,160,12.078113
-964.1,92,12.084605
-950.0,116,12.088463
-980.3,45,12.109128
-989.6,28,12.11874
-898.59985,251,12.123656
-905.4999,221,12.140412
-993.2,20,12.152276
-977.6,51,12.172202
-959.5,90,12.211464
